Survey name,Availability of dietary data,ISO3,Year,Dietary assessment method,Representativeness,Sample size,Youngest age,Oldest age,Sex,Available dietary factors,FoodEx2 harmonization status,GDD model inclusion?,URL (public surveys only),surveyid,surveyround
Nutritional status of school-aged children of Buenos Aires,Available for Download,ARG,2005,FFQ|Single Recall,Local,1588,9,11,Male|Female,Fruits|Potatoes|Other Starchy Vegetables|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Eggs|Sugar-Sweetened Beverages|Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Total Omega-6 Fatty Acids|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Zinc|Fruits|Potatoes|Other Starchy Vegetables|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Eggs|Sugar-Sweetened Beverages|Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Total Omega-6 Fatty Acids|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Zinc,,Yes,,239,1
Encuesta Nacional de Nutrición y Salud - National Nutrition and Health Survey (ENNyS),Private,ARG,2004,Single Recall,National,1000,20,49,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Energy|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Energy|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Total Milk,,Yes,,100005,100016
"INTERSALT, Buenos Aires",Publicly Available,ARG,1985,Biomarker,Local,25,20,59,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/2810325,101174,101174
Health Behavior in School-Aged Children 2010,Publicly Available,ARM,2010,FFQ,National,2749,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5081,1
Demographic and Health Survey Armenia 2005,Publicly Available,ARM,2005,DHS Questionnaire,National,7501,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Fruit Juice|Coffee|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Fruit Juice|Coffee|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-262.cfm,5909,1
Living Conditions Lifestyles and Health in the Communities of Independent States (CIS),Available for Download,ARM,2001,FFQ,National,1000,18,99,,Fruits|Non-Starchy Vegetables|Unprocessed Red Meats|Total Milk|Fruits|Non-Starchy Vegetables|Unprocessed Red Meats|Total Milk,,Yes,,100006,100151
Global Student Based Student Health Survey 2009,Publicly Available,ATG,2009,FFQ,National,1220,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,https://www.who.int/ncds/surveillance/gshs/antiguabarbudadataset/en/,5077,1
Land et al.,Private,AUS,2011,Biomarker,Subnational,15,20,88,,Dietary Sodium|Dietary Sodium,,Yes,,101264,101264
Charlton et al.,Publicly Available,AUS,2007,Biomarker,Local,78,20,56,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/20649774,101272,101272
Margerison,Publicly Available,AUS,2003,Biomarker,Subnational,79,30,74,,Dietary Sodium|Dietary Sodium,,Yes,http://dro.deakin.edu.au/view/DU:30015026,101276,101276
National Nutrition Survey,,AUS,1995,Single Recall,National,1000,0,100,,Fruits|Nuts and Seeds|Whole Grains|Total Seafoods|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Fruits|Nuts and Seeds|Whole Grains|Total Seafoods|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium,,Yes,,100260,100307
National Nutrition Survey,Publicly Available,AUS,1995,Single Recall,National,1000,0,100,,Non-Starchy Vegetables|Beans and Legumes|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Milk|Non-Starchy Vegetables|Beans and Legumes|Total Processed Meats|Unprocessed Red Meats|Sugar-Sweetened Beverages|Total Milk,,Yes,https://www.abs.gov.au/AUSSTATS/abs@.nsf/0/01F2086AD5CDBF65CA256BD000272375?OpenDocument,100260,100344
Beard et al.,Publicly Available,AUS,1995,Biomarker,Subnational,87,20,70,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/9140344,101041,101041
Notowidjojo et al.,Publicly Available,AUS,1992,Biomarker,Subnational,64,20,64,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/24352061,101226,101226
Beard et al.,Publicly Available,AUS,1989,Biomarker,Subnational,22,24,69,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/1521364,101225,101225
Austrian Study of Nutritional Status,Available for Download,AUT,2010,FFQ,National,889,6,81,Male|Female,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Seafoods|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Seafoods|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Total Milk,,Yes,,65,1
Health Behavior in School-Aged Children 2010,Publicly Available,AUT,2010,FFQ,National,4983,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5095,1
Austrian Study on Nutritional Status 2007,Private,AUT,2007,Single Recall,National,1000,7,100,,Total Energy|Saturated Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Total Energy|Saturated Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium,,Yes,,100009,100092
Health Behavior in School-Aged Children 2006,Publicly Available,AUT,2006,FFQ,National,4771,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5094,1
Austrian Study on Nutritional Status,Private,AUT,2005,Single Recall,National,1000,19,64,,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruit Juice|Total Energy|Total Milk|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruit Juice|Total Energy|Total Milk,,Yes,,100008,100091
Health Behavior in School-Aged Children 2002,Publicly Available,AUT,2001,FFQ,National,4366,9.833333,15.833333,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5093,1
Austrian Community Health and Nutrition Survey,Publicly Available,AUT,1999,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533745,100007,100162
Health Behavior in School-Aged Children 1998,Publicly Available,AUT,1998,FFQ,National,4286,10.333333,16.25,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5092,1
Health Behavior in School-Aged Children 1994,Publicly Available,AUT,1993,FFQ,National,5217,10.42,16.33,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Whole Fat Milk,,Yes,http://www.hbsc.org/,5091,1
Health Behavior in School-Aged Children 1990,Publicly Available,AUT,1989,FFQ,National,2930,10.42,16.25,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5090,1
Demographic and Health Survey Azerbaijan 2006,Publicly Available,AZE,2006,DHS Questionnaire,National,10307,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Tea|Total Milk,,Yes,https://www.dhsprogram.com/what-we-do/survey/survey-display-279.cfm,5098,1
Deomgraphic and Health Suvey Burundi 2012,Publicly Available,BDI,2012,Biomarker,National,3754,0.5,4.9166665,Male|Female,,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-446.cfm,5143,1
Demographic and Health Survey Burundi 2010,Publicly Available,BDI,2010,DHS Questionnaire,National,14636,0,59,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-346.cfm,5144,1
Demographic and Health Survey Burundi 1987,Publicly Available,BDI,1987,DHS Questionnaire,National,1539,0,4,Male|Female,Fruit Juice|Total Milk|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-16.cfm,5781,1
Health Behavior in School-Aged Children 2010,Publicly Available,BEL,2010,FFQ,National,8159,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5115,1
Vandevijvere et al.,Publicly Available,BEL,2009,Biomarker,Subnational,66,25,65,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/20717132,101192,101192
Vandevijvere et al.,Publicly Available,BEL,2007,Biomarker,Subnational,60,25,65,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/20717132,101191,101191
Health Behavior in School-Aged Children 2006,Publicly Available,BEL,2006,FFQ,National,8757,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5114,1
Belgian National Food Consumption Survey,Private,BEL,2004,Multiple Recall,National,1000,15,100,,Total Energy|Saturated Fat|Calcium|Total Energy|Saturated Fat|Calcium,,Yes,,100019,100094
Belgian National Food Consumption Survey,Private,BEL,2004,Multiple Recall,National,1000,15,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Trans Fatty Acid|Dietary Fiber|Calcium|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Trans Fatty Acid|Dietary Fiber|Calcium|Total Milk,,Yes,,100019,100216
Flanders preschool dietary survey,,BEL,2002,Multiple Recall,Subnational,1983,2.5833333,6.5833335,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Beans and Legumes|Nuts and Seeds|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Fruit Juice|Tea|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Plant Protein|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin C|Vitamin E|Zinc|Total Milk|Total Animal Protein|Fruits|Non-Starchy Vegetables|Potatoes|Beans and Legumes|Nuts and Seeds|Refined Grains|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Sugar-Sweetened Beverages|Fruit Juice|Tea|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Plant Protein|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin C|Vitamin E|Zinc|Total Milk|Total Animal Protein,,Yes,,1,1
Health Behavior in School-Aged Children 2002,Publicly Available,BEL,2001,FFQ,National,10612,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5113,1
Belgian Community Health and Nutrition Survey,Publicly Available,BEL,1999,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533748,100018,100165
Health Behavior in School-Aged Children 1998,Publicly Available,BEL,1998,FFQ,Subnational,2505,11,15.916667,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5112,1
Health Behavior in School-Aged Children 1998,Publicly Available,BEL,1998,FFQ,Subnational,4824,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5112,2
Zhang et al.,Publicly Available,BEL,1997,Biomarker,National,2124,25,74,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/10981460,101277,101277
Zhang et al.,Publicly Available,BEL,1997,Single Recall,Subnational,2124,25,74,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/10981460,101300,101300
Belgian Community Health and Nutrition Survey,Publicly Available,BEL,1996,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533747,100017,100164
Health Behavior in School-Aged Children 1994,Publicly Available,BEL,1993,FFQ,Subnational,5196,10.9,16.059999,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5111,1
Health Behavior in School-Aged Children 1994,Publicly Available,BEL,1993,FFQ,Subnational,4506,11,16.08,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5111,2
TRANSFAIR study,Publicly Available,BEL,1991,Single Recall,National,250,18,65,,Trans Fatty Acid|Trans Fatty Acid,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/9660581,100280,100327
Health Behavior in School-Aged Children 1990,Publicly Available,BEL,1989,FFQ,National,3007,11.08,15.92,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Whole Grains|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Potatoes|Whole Grains|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5110,1
Belgian Community Health and Nutrition Survey,Publicly Available,BEL,1987,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533746,100016,100163
Health Behavior in School-Aged Children 1986,Publicly Available,BEL,1985,FFQ,National,3575,10.504109,16.339725,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5109,1
